datetime,open,high,low,close,volume
2014-08-27 12:00:00,18.5,18.5,18.5,18.5,100.0
2014-08-27 15:00:00,18.5,18.5,18.5,18.5,1917.0
2014-08-28 09:00:00,18.95,18.95,17.65,17.8,3281.0
2014-08-28 12:00:00,18.0,18.85,17.8,17.8,2334.0
2014-08-28 15:00:00,17.65,17.7,17.65,17.7,757.0
2014-09-01 09:00:00,17.0,17.5,17.0,17.5,1746.0
2014-09-01 12:00:00,17.5,17.7,17.15,17.3,1442.0
2014-09-01 15:00:00,17.15,17.95,17.15,17.45,176.0
2014-09-02 09:00:00,17.6,18.3,17.5,18.3,3848.0
2014-09-02 15:00:00,18.3,18.3,18.3,18.3,501.0
2014-09-03 09:00:00,18.0,19.2,18.0,19.2,1050.0
2014-09-03 12:00:00,18.9,19.2,18.15,19.2,5102.0
2014-09-03 15:00:00,18.6,18.6,18.6,18.6,11.0
2014-09-04 09:00:00,18.5,19.4,18.5,19.0,1140.0
2014-09-04 12:00:00,18.75,18.75,18.2,18.2,920.0
2014-09-04 15:00:00,18.4,18.75,18.4,18.45,101.0
2014-09-05 09:00:00,19.35,19.35,18.15,18.15,1310.0
2014-09-05 12:00:00,19.2,19.2,18.0,18.1,2821.0
2014-09-05 15:00:00,18.0,18.05,18.0,18.05,647.0
2014-09-08 09:00:00,17.25,17.9,17.25,17.3,1570.0
2014-09-08 12:00:00,17.3,17.7,17.15,17.15,3874.0
2014-09-08 15:00:00,17.15,17.15,17.15,17.15,101.0
2014-09-09 09:00:00,16.4,17.5,16.4,17.5,580.0
2014-09-09 12:00:00,17.45,17.45,16.6,16.6,1410.0
2014-09-09 15:00:00,17.0,17.0,16.55,17.0,1361.0
2014-09-10 09:00:00,17.0,17.85,17.0,17.85,11151.0
2014-09-10 12:00:00,17.85,17.85,17.85,17.85,2399.0
2014-09-10 15:00:00,17.85,17.85,17.85,17.85,53.0
2014-09-11 09:00:00,17.05,18.7,17.05,18.45,1004.0
2014-09-11 12:00:00,18.05,18.55,17.5,17.5,2105.0
2014-09-11 15:00:00,17.6,18.2,17.6,17.75,1003.0
2014-09-12 09:00:00,18.6,18.6,18.45,18.6,971.0
2014-09-12 12:00:00,18.6,18.6,18.6,18.6,649.0
2014-09-12 15:00:00,18.6,18.6,18.6,18.6,1.0
2014-09-15 09:00:00,19.5,19.5,18.25,19.5,6051.0
2014-09-15 12:00:00,19.5,19.5,19.5,19.5,981.0
2014-09-15 15:00:00,19.5,19.5,19.5,19.5,151.0
2014-09-16 09:00:00,19.9,20.45,19.9,20.45,594.0
2014-09-16 12:00:00,20.45,20.45,18.55,18.55,9268.0
2014-09-16 15:00:00,18.55,18.55,18.55,18.55,1971.0
2014-09-17 09:00:00,18.0,18.5,17.7,18.5,2174.0
2014-09-17 12:00:00,18.75,18.75,17.75,17.75,740.0
2014-09-17 15:00:00,18.0,18.7,18.0,18.65,301.0
2014-09-18 09:00:00,18.3,19.4,18.3,18.55,1050.0
2014-09-18 12:00:00,18.8,19.35,18.8,19.35,490.0
2014-09-18 15:00:00,19.05,19.05,19.05,19.05,9.0
2014-09-19 09:00:00,19.65,19.65,18.8,19.0,512.0
2014-09-19 12:00:00,18.4,18.4,18.4,18.4,250.0
2014-09-19 15:00:00,18.4,18.95,18.4,18.4,306.0
2014-09-22 09:00:00,18.05,18.15,18.05,18.15,900.0
2014-09-22 12:00:00,19.0,19.3,18.15,18.6,777.0
2014-09-22 15:00:00,18.75,18.75,18.75,18.75,121.0
2014-09-23 09:00:00,18.35,19.25,18.35,18.5,8340.0
2014-09-23 12:00:00,18.3,19.0,18.1,18.1,5344.0
2014-09-23 15:00:00,18.25,18.25,17.9,18.1,3493.0
2014-09-24 09:00:00,17.9,17.9,17.65,17.65,500.0
2014-09-24 12:00:00,17.8,17.8,17.8,17.8,25.0
2014-09-24 15:00:00,18.5,18.95,18.5,18.75,71.0
2014-09-25 09:00:00,18.0,18.0,18.0,18.0,314.0
2014-09-25 12:00:00,17.85,17.85,17.85,17.85,502.0
2014-09-25 15:00:00,17.85,17.85,17.85,17.85,6.0
2014-09-26 09:00:00,17.0,18.0,17.0,17.0,450.0
2014-09-26 12:00:00,17.4,17.4,17.4,17.4,170.0
2014-09-26 15:00:00,17.4,17.4,17.4,17.4,121.0
2014-09-29 09:00:00,17.6,17.6,17.2,17.6,76.0
2014-09-29 12:00:00,17.2,17.2,16.6,16.6,2090.0
2014-09-29 15:00:00,16.6,17.0,16.6,16.6,113.0
2014-09-30 09:00:00,17.0,17.4,17.0,17.3,1150.0
2014-09-30 12:00:00,17.3,17.3,16.5,17.3,212.0
2014-09-30 15:00:00,17.35,17.35,17.3,17.3,666.0
2014-10-01 09:00:00,17.0,17.0,17.0,17.0,30.0
2014-10-01 12:00:00,16.9,17.0,16.8,16.9,64.0
2014-10-01 15:00:00,16.85,17.0,16.6,16.85,251.0
2014-10-07 09:00:00,17.6,17.6,17.6,17.6,300.0
2014-10-07 12:00:00,17.25,17.25,17.0,17.0,530.0
2014-10-07 15:00:00,17.0,17.0,17.0,17.0,71.0
2014-10-08 09:00:00,18.0,18.45,17.0,17.0,385.0
2014-10-08 12:00:00,17.45,17.45,17.0,17.4,1705.0
2014-10-08 15:00:00,17.35,17.5,17.35,17.45,801.0
2014-10-09 09:00:00,17.55,17.55,17.0,17.0,3650.0
2014-10-09 12:00:00,16.8,17.2,16.8,17.2,1950.0
2014-10-09 15:00:00,17.0,17.0,16.85,16.9,137.0
2014-10-10 09:00:00,16.0,16.6,15.9,16.0,7949.0
