datetime,open,high,low,close,volume
2014-09-01 15:00:00,1267.075,1272.0,1266.05,1268.575,142948.0
2014-09-02 09:00:00,1272.9,1277.4,1257.05,1274.475,661032.0
2014-09-02 12:00:00,1274.5,1277.0,1270.5,1271.75,480978.0
2014-09-02 15:00:00,1272.5,1272.5,1267.2,1268.95,266108.0
2014-09-03 09:00:00,1269.5,1308.0,1269.5,1303.975,1805390.0
2014-09-03 12:00:00,1303.975,1306.05,1297.5,1303.825,904988.0
2014-09-03 15:00:00,1303.8,1305.275,1300.55,1303.2,335722.0
2014-09-04 09:00:00,1311.0,1313.725,1288.725,1296.45,914224.0
2014-09-04 12:00:00,1296.475,1297.5,1289.05,1291.25,465314.0
2014-09-04 15:00:00,1291.25,1294.5,1288.825,1292.375,319926.0
2014-09-05 09:00:00,1299.95,1310.9,1291.525,1296.55,603458.0
2014-09-05 12:00:00,1296.975,1299.7,1292.85,1298.425,387322.0
2014-09-05 15:00:00,1298.45,1301.175,1296.65,1299.3,476172.0
2014-09-08 09:00:00,1306.0,1318.725,1299.525,1315.0,806414.0
2014-09-08 12:00:00,1315.025,1320.0,1311.5,1317.1,567440.0
2014-09-08 15:00:00,1317.1,1325.0,1316.975,1321.35,321152.0
2014-09-09 09:00:00,1326.0,1333.5,1312.55,1315.25,735308.0
2014-09-09 12:00:00,1315.25,1319.0,1313.525,1315.9,477864.0
2014-09-09 15:00:00,1316.5,1317.075,1313.375,1315.625,204002.0
2014-09-10 09:00:00,1319.0,1321.375,1309.075,1314.85,425226.0
2014-09-10 12:00:00,1314.875,1314.925,1304.0,1304.8,626300.0
2014-09-10 15:00:00,1305.0,1305.2,1295.6,1300.075,204712.0
2014-09-11 09:00:00,1305.0,1312.2,1296.75,1299.5,600406.0
2014-09-11 12:00:00,1299.225,1302.5,1295.75,1297.6,313176.0
2014-09-11 15:00:00,1298.0,1300.0,1297.5,1299.175,156656.0
2014-09-12 09:00:00,1305.0,1312.175,1300.5,1304.875,495208.0
2014-09-12 12:00:00,1304.975,1307.45,1296.6,1306.475,518828.0
2014-09-12 15:00:00,1306.475,1306.625,1300.775,1303.8,182120.0
2014-09-15 09:00:00,1307.0,1309.3,1290.6,1293.7,275822.0
2014-09-15 12:00:00,1293.675,1294.875,1277.0,1280.025,503768.0
2014-09-15 15:00:00,1280.025,1281.75,1278.0,1279.15,367860.0
2014-09-16 09:00:00,1283.0,1285.5,1273.3,1278.775,412832.0
2014-09-16 12:00:00,1278.8,1287.5,1272.5,1276.5,726042.0
2014-09-16 15:00:00,1277.1,1279.35,1272.0,1275.425,393628.0
2014-09-17 09:00:00,1280.5,1297.175,1280.5,1293.875,719468.0
2014-09-17 12:00:00,1292.75,1302.375,1287.5,1292.4,642896.0
2014-09-17 15:00:00,1292.45,1297.475,1291.825,1295.6,277318.0
2014-09-18 09:00:00,1295.85,1314.725,1290.5,1311.775,713508.0
2014-09-18 12:00:00,1312.0,1325.5,1311.0,1323.65,491988.0
2014-09-18 15:00:00,1323.65,1325.9,1315.35,1321.15,272158.0
2014-09-19 09:00:00,1321.5,1364.5,1321.0,1363.5,1605034.0
2014-09-19 12:00:00,1363.5,1370.0,1356.0,1360.1,712096.0
2014-09-19 15:00:00,1360.225,1360.5,1349.075,1357.1,1255992.0
2014-09-22 09:00:00,1357.0,1358.475,1338.125,1340.75,373708.0
2014-09-22 12:00:00,1340.75,1354.0,1340.0,1352.5,303772.0
2014-09-22 15:00:00,1352.425,1367.0,1352.05,1360.9,320420.0
2014-09-23 09:00:00,1362.0,1391.225,1354.0,1354.175,1116634.0
2014-09-23 12:00:00,1354.175,1358.45,1342.5,1345.7,596202.0
2014-09-23 15:00:00,1345.65,1347.65,1341.65,1344.1,328316.0
2014-09-24 09:00:00,1346.5,1353.475,1325.575,1330.475,1028990.0
2014-09-24 12:00:00,1330.25,1333.45,1317.5,1320.0,1027338.0
2014-09-24 15:00:00,1320.45,1325.625,1316.375,1321.5,380492.0
2014-09-25 09:00:00,1330.475,1355.9,1330.0,1355.425,877248.0
2014-09-25 12:00:00,1355.4,1357.1,1347.575,1348.325,656690.0
2014-09-25 15:00:00,1348.325,1362.5,1342.5,1354.3,926546.0
2014-09-26 09:00:00,1355.0,1362.45,1335.625,1345.275,669290.0
2014-09-26 12:00:00,1345.275,1349.85,1335.05,1346.5,682306.0
2014-09-26 15:00:00,1346.425,1346.975,1337.125,1342.0,237932.0
2014-09-29 09:00:00,1347.7,1381.0,1337.65,1374.975,897648.0
2014-09-29 12:00:00,1374.75,1384.95,1371.6,1380.6,748334.0
2014-09-29 15:00:00,1380.75,1387.725,1378.675,1383.975,434646.0
2014-09-30 09:00:00,1386.475,1388.325,1361.575,1372.8,818556.0
2014-09-30 12:00:00,1372.8,1383.0,1354.075,1358.5,1163764.0
2014-09-30 15:00:00,1358.525,1373.375,1357.125,1368.3,799936.0
2014-10-01 09:00:00,1376.0,1401.0,1369.05,1395.475,1042422.0
2014-10-01 12:00:00,1395.5,1398.275,1383.5,1391.625,753692.0
2014-10-01 15:00:00,1391.525,1395.95,1385.05,1387.5,327132.0
2014-10-07 09:00:00,1369.8,1419.85,1369.8,1390.7,1543274.0
2014-10-07 12:00:00,1390.3,1396.85,1367.525,1370.0,1159082.0
2014-10-07 15:00:00,1369.375,1369.95,1362.8,1365.675,730166.0
2014-10-08 09:00:00,1369.0,1369.975,1328.175,1331.225,744486.0
2014-10-08 12:00:00,1331.425,1352.5,1324.625,1350.15,811924.0
2014-10-08 15:00:00,1350.2,1350.7,1338.0,1341.6,399782.0
2014-10-09 09:00:00,1354.0,1360.975,1347.55,1350.275,490874.0
2014-10-09 12:00:00,1350.8,1361.65,1343.25,1358.325,735072.0
2014-10-09 15:00:00,1358.325,1358.5,1345.3,1353.025,454516.0
2014-10-10 09:00:00,1353.0,1363.725,1338.375,1351.15,1154888.0
2014-10-10 12:00:00,1351.25,1352.8,1334.25,1337.425,825632.0
2014-10-10 15:00:00,1337.0,1341.5,1334.7,1339.25,361894.0
2014-10-13 09:00:00,1340.0,1362.4,1335.0,1356.5,1033390.0
2014-10-13 12:00:00,1356.5,1360.0,1351.75,1358.775,861242.0
2014-10-13 15:00:00,1358.825,1362.225,1354.2,1358.275,312804.0
2014-10-14 09:00:00,1365.0,1367.85,1339.4,1343.175,885144.0
2014-10-14 12:00:00,1343.225,1355.0,1339.7,1350.0,995010.0
2014-10-14 15:00:00,1350.0,1351.8,1347.725,1349.6,449728.0
2014-10-16 09:00:00,1365.0,1379.3,1350.6,1356.95,1558780.0
2014-10-16 12:00:00,1356.95,1364.35,1335.0,1343.825,1520034.0
2014-10-16 15:00:00,1343.825,1346.975,1332.125,1339.05,751308.0
2014-10-17 09:00:00,1237.5,1255.675,1225.0,1239.975,5731458.0
2014-10-17 12:00:00,1239.975,1239.975,1222.8,1228.65,2718608.0
2014-10-17 15:00:00,1228.55,1228.675,1215.0,1220.575,1358202.0
2014-10-20 09:00:00,1245.0,1246.8,1213.85,1227.45,1875152.0
2014-10-20 12:00:00,1227.175,1227.5,1211.25,1213.75,1013568.0
2014-10-20 15:00:00,1214.15,1214.3,1208.975,1211.65,497188.0
2014-10-21 09:00:00,1212.925,1221.875,1207.5,1210.225,889338.0
2014-10-21 12:00:00,1210.25,1219.95,1209.0,1213.475,762172.0
2014-10-21 15:00:00,1213.5,1218.05,1213.475,1216.7,288988.0
2014-10-22 09:00:00,1242.5,1244.5,1225.275,1227.275,1055156.0
2014-10-22 12:00:00,1227.3,1228.2,1222.55,1225.775,673324.0
2014-10-22 15:00:00,1225.75,1227.475,1224.75,1225.925,318498.0
2014-10-27 09:00:00,1259.5,1259.85,1227.575,1234.025,1582704.0
2014-10-27 12:00:00,1234.05,1235.625,1222.475,1224.975,920078.0
2014-10-27 15:00:00,1225.0,1230.8,1224.0,1229.075,292098.0
2014-10-28 09:00:00,1242.45,1242.45,1226.725,1235.1,1158436.0
2014-10-28 12:00:00,1235.1,1241.875,1234.5,1239.85,758242.0
2014-10-28 15:00:00,1239.625,1241.0,1237.475,1239.3,362372.0
2014-10-29 09:00:00,1237.5,1249.95,1236.5,1240.675,1258442.0
2014-10-29 12:00:00,1240.875,1252.0,1240.65,1250.7,687974.0
2014-10-29 15:00:00,1250.7,1257.0,1250.7,1253.025,469338.0
2014-10-30 09:00:00,1260.9,1275.975,1254.5,1274.475,1360976.0
2014-10-30 12:00:00,1274.5,1287.45,1266.625,1272.5,1469980.0
2014-10-30 15:00:00,1272.625,1282.1,1272.5,1281.5,1266866.0
2014-10-31 09:00:00,1280.5,1301.0,1280.5,1289.9,1415974.0
2014-10-31 12:00:00,1289.9,1298.5,1289.825,1296.25,1091026.0
2014-10-31 15:00:00,1296.375,1310.0,1296.375,1303.925,645516.0
2014-11-03 09:00:00,1324.5,1324.5,1295.4,1297.975,1120860.0
2014-11-03 12:00:00,1297.925,1302.225,1290.25,1291.525,836886.0
2014-11-03 15:00:00,1291.5,1298.775,1291.15,1295.175,507602.0
2014-11-05 09:00:00,1319.0,1319.0,1295.0,1296.65,895416.0
2014-11-05 12:00:00,1297.625,1307.8,1295.0,1301.125,965480.0
2014-11-05 15:00:00,1301.125,1304.5,1296.8,1299.75,418964.0
2014-11-07 09:00:00,1302.4,1307.85,1278.5,1284.55,817282.0
2014-11-07 12:00:00,1285.0,1287.9,1280.3,1284.35,918722.0
