s,d__001,d__002,d__010
NSE:IBREALEST,indiabulls,IBREALEST,INDIABULLS REAL EST
NSE:L_TFH,l-and-t-finance,L_TFH,L&T FINANCE HOLDIN
NSE:NTPC,ntpc,NTPC,NTPC LTD
NSE:SOUTHBANK,south-indian-bank,SOUTHBANK,SOUTH INDIA BANK
NSE:JMTAUTOLTD,,JMTAUTOLTD,JMT AUTO LTD
NSE:IRB,irb-infrastructure,IRB,IRB INFRASTRUCTURE
NSE:URJA,,URJA,URJA GLOBAL LTD
NSE:GAYAPROJ,,GAYAPROJ,GAYATRI PROJECTS
NSE:TATASTLBSL,tata,TATASTLBSL,TATA STEEL BSL LTD
NSE:DLF,dlf,DLF,DLF LTD
NSE:JISLJALEQS,,JISLJALEQS,JAIN IRRIGATION
NSE:ZEEL,zee-entertain,ZEEL,ZEE ENTERTAIN ENT
NSE:GMDCLTD,gujarat-mineral-development-co,GMDCLTD,GUJARAT MINERAL DE
NSE:VEDL,steel-dynamics,VEDL,VEDANTA LTD
NSE:MOTHERSUMI,motherson,MOTHERSUMI,MOTHERSON SUMI SYS
NSE:JSWSTEEL,jsw,JSWSTEEL,JSW STEEL LTD
NSE:SPTL,,SPTL,SINTEX PLASTICS TE
NSE:RVNL,,RVNL,RAIL VIKAS NIGAM
NSE:NECLIFE,,NECLIFE,NECTAR LIFESCIENCE
NSE:SANGHIIND,,SANGHIIND,SANGHI INDUSTRIES
NSE:JAICORPLTD,,JAICORPLTD,JAI CORP LTD
NSE:ZEEMEDIA,,ZEEMEDIA,ZEE MEDIA CORP
NSE:HINDCOPPER,hindustan-copper,HINDCOPPER,HINDUSTAN COPPER
NSE:HINDALCO,hindalco,HINDALCO,HINDALCO INDS
NSE:GMRINFRA,gmr,GMRINFRA,GMR INFRASTRUCTURE
NSE:UJAAS,,UJAAS,UJAAS ENERGY LTD
NSE:CADILAHC,cadila-healthcare,CADILAHC,CADILA HEALTHCARE
NSE:BRFL,,BRFL,BOMBAY RAYON FASHIONS LTD
NSE:IDBI,idbi-bank,IDBI,IDBI BANK LTD
NSE:SUBEXLTD,,SUBEXLTD,SUBEX LTD
NSE:RCOM,reliance-comm,RCOM,RELIANCE COMM LTD
NSE:ICICIBANK,icici-bank,ICICIBANK,ICICI BANK
NSE:MAHABANK,,MAHABANK,BK OF MAHARASHTRA
NSE:VRLLOG,vrl-logistics,VRLLOG,VRL LOGISTICS LTD
NSE:LICHSGFIN,lic-housing,LICHSGFIN,LIC HOUSING FINAN
NSE:INDSWFTLAB,,INDSWFTLAB,IND SWIFT LABS
NSE:UNITECH,,UNITECH,UNITECH LTD
NSE:RBLBANK,rbl-bank,RBLBANK,RBL BANK LTD
NSE:WABAG,va-tech-wabag,WABAG,VA TECH WABAG LTD
NSE:HCC,,HCC,HINDUSTAN CONSTRUC
NSE:ASHOKA,ashoka-buildcon-lt,ASHOKA,ASHOKA BUILDCON LTD
NSE:HSCL,himadri-speciality,HSCL,HIMADRI SPECIALITY
NSE:CUB,city-union-bank,CUB,CITY UNION BANK
NSE:UJJIVANSFB,,UJJIVANSFB,UJJIVAN SMALL FINANC BANK
NSE:RADIOCITY,,RADIOCITY,MUSIC BROADCAST
NSE:DISHTV,dish-tv-india,DISHTV,DISH TV INDIA LTD
NSE:DCBBANK,dcb-bank,DCBBANK,DCB BANK LTD
NSE:CANBK,canara-bank,CANBK,CANARA BANK
NSE:JSL,,JSL,JINDAL STAINLESS
NSE:BHARTIARTL,airtel,BHARTIARTL,BHARTI AIRTEL LTD
NSE:TATACOFFEE,tata,TATACOFFEE,TATA COFFEE
NSE:PETRONET,petronet-lng,PETRONET,PETRONET LNG
